Text,Company,Rating,Sentiment,Feedback Response
We switched all our productivity suites to Google and haven't looked back. Highly reliable and cost-effective.,Google,5,Positive,Wonderful! We are proud to offer a highly reliable and cost-effective productivity suite that meets all your needs.
A critical bug in the latest Adobe Illustrator update froze my system multiple times. Unacceptable for a professional tool.,Adobe,1,Negative,We deeply apologize for this critical bug and the frustration it caused. Quality and stability are paramount; we are prioritizing a fix for Illustrator immediately.
The Zoom Room setup was easy and works flawlessly in all our conference rooms. A very polished product.,Zoom,5,Positive,Flawless performance and easy setup are exactly what Zoom Rooms aims for! Thank you for the high praise for our polished product.
HubSpot's customer success manager provides personalized guidance and helps us optimize our campaigns monthly.,HubSpot,5,Positive,Personalized guidance is key to success! We’re thrilled your Customer Success Manager is helping you optimize campaigns effectively every month.
"The initial scoping phase with N-iX took longer than anticipated, but the end result was worth the wait.",N-iX,4,Neutral,"We acknowledge the scoping phase took time, but we're pleased the comprehensive planning resulted in a successful outcome. We aim to streamline initial processes while maintaining thoroughness."
VLink overpromised on their implementation timeline. The project was delayed by three weeks with little communication.,VLink,2,Negative,"We sincerely apologize for the implementation delay and, especially, the lack of communication. We are immediately reviewing our timeline estimation and internal communication protocols to prevent this."
Accedia's solution was overly generic for our niche industry. We had to do significant customization ourselves.,Accedia,2,Negative,We regret that our initial solution felt too generic for your niche needs. We will ensure our teams dedicate more time to understanding specific industry requirements during the discovery phase.
TruAdvantage's team is extremely knowledgeable about compliance standards. They guided us through a complex audit.,TruAdvantage,5,Positive,Navigating complex audits requires expertise! We're proud our team's deep knowledge of compliance standards guided you successfully.
Microsoft's enterprise support is incredibly efficient. Issues are owned and resolved with professionalism.,Microsoft,5,Positive,Efficiency and professionalism are hallmarks of our enterprise support. We are happy we resolved your issues effectively!
Salesforce's documentation is vast and often difficult to navigate. Finding simple answers requires too much searching.,Salesforce,3,Negative,"We understand that vast documentation can be overwhelming. We are committed to improving search functionality and organizing documentation for quicker, more intuitive access to simple answers."
The security features on Google Cloud Platform are top-tier. We feel very secure hosting our sensitive data there.,Google,5,Positive,Top-tier security is our commitment! We are delighted that you feel secure entrusting your sensitive data to Google Cloud Platform.
I dislike the mandatory updates for Adobe products; they often interrupt workflow at the worst possible time.,Adobe,2,Negative,We understand that mandatory updates can disrupt your critical workflow. We are working on providing more flexible scheduling options to minimize interruptions while maintaining security.
We had connection issues with Zoom during a very important investor pitch. Embarrassing and unreliable.,Zoom,1,Negative,"We sincerely apologize for the connection issues during such a critical pitch. Reliability is crucial, and we are investigating this failure immediately to ensure stability for high-stakes meetings."
HubSpot is the single best tool for inbound marketing. Simplified our entire lead generation process.,HubSpot,5,Positive,That is wonderful feedback! We're thrilled that HubSpot has simplified your inbound marketing and proven to be the best tool for lead generation.
Our long-term partnership with N-iX has been key to our technological growth. Truly a strategic partner.,N-iX,5,Positive,We value our long-term strategic partnership immensely! We are committed to fueling your technological growth for years to come.
VLink's pricing structure is complex and hard to compare with other managed service providers.,VLink,3,Negative,We apologize if our pricing structure is confusing. We are reviewing our models to make them more transparent and easier to compare against market standards.
Accedia's delivery manager was excellent at keeping the project on track and communicating risks transparently.,Accedia,4,Positive,Excellent project management and transparent communication are vital! We are delighted our delivery manager ensured your project stayed on track.
TruAdvantage's response to a security incident was fast and effective. Minimal damage thanks to their speed.,TruAdvantage,5,Positive,Speed and effectiveness during an incident are paramount! We are proud our quick response minimized damage and protected your assets.
Microsoft Teams is an absolute mess. Constant glitches and poor integration with Outlook compared to competitors.,Microsoft,1,Negative,We apologize that your experience with Teams has been marred by glitches and poor integration. We are prioritizing stability and seamless Outlook integration updates immediately.
We love the automation capabilities of Salesforce. It handles complex workflows easily.,Salesforce,4,Positive,That’s great to hear! We designed our automation capabilities to handle complex workflows easily and boost your team's efficiency.
"Google Meet is good, but lacks some of the advanced features of competing video platforms.",Google,3,Neutral,"We're glad Meet is performing well, and we appreciate the feedback regarding advanced features. We are constantly expanding our feature set to meet evolving enterprise needs."
Adobe's mobile apps are a fantastic extension of their desktop suite. True cross-platform functionality.,Adobe,4,Positive,"We're delighted you find our mobile apps a fantastic, true cross-platform extension of your creative workflow!"
"Zoom webinars are easy to set up and manage, even for large-scale events. Highly scalable.",Zoom,5,Positive,Highly scalable and easy to managethat's the goal of Zoom Webinars! Thank you for the positive feedback on large-scale events.
"HubSpot's email builder is very intuitive and generates clean, professional-looking campaigns.",HubSpot,4,Positive,"Wonderful! We strive for intuitiveness and professional results, so we're happy the email builder is meeting your campaign needs effectively."
"N-iX provided excellent QA services, catching critical bugs before launch. Their attention to detail is high.",N-iX,5,Positive,We are proud of our QA team's attention to detail! Catching critical bugs pre-launch is essential for a smooth go-live.
The monthly fees from VLink are too high for the level of service we are receiving. Considering other options.,VLink,2,Negative,We apologize if you feel the value does not align with our fees. We take this feedback seriously and want to discuss how we can better demonstrate the comprehensive value of our service package.
Accedia's final product exceeded our expectations for quality and performance. Great value for the cost.,Accedia,5,Positive,Exceeding expectations is what we aim for! We're thrilled that the quality and performance provided great value for your investment.
TruAdvantage is simply the best in IT security. No vendor comes close to their expertise.,TruAdvantage,5,Positive,Thank you for the high praise! We are committed to maintaining that best-in-class expertise in IT security for you.
The cost of a full Microsoft Dynamics 365 implementation was much higher than initially quoted.,Microsoft,3,Negative,We regret that the final implementation cost exceeded the initial quote. We are reviewing our quoting processes to ensure better transparency and accuracy upfront for complex projects like Dynamics 365.
Salesforce's support for smaller business accounts is clearly prioritized lower than enterprise customers.,Salesforce,2,Negative,"We apologize if you felt that smaller business support was deprioritized. We are focused on ensuring all customers, regardless of size, receive prompt and dedicated attention."
Google's AI tools integrated into their products are incredibly helpful for data analysis.,Google,5,Positive,We're thrilled our integrated AI tools are proving incredibly helpful for your data analysis! We continue to expand these capabilities.
The performance of Adobe's software is a resource hog. My high-end machine struggles with large files.,Adobe,2,Negative,"We understand that performance optimization is critical. We apologize if our software is consuming excessive resources, and we are actively working on improving efficiency, especially with large file handling."
"Zoom's constant security updates are annoying but necessary, I suppose.",Zoom,3,Neutral,"We acknowledge that constant updates can be disruptive, but appreciate you recognizing their necessity. We strive to balance security needs with minimal intrusion into your workflow."
HubSpot's free CRM is an incredible starting point for startups and small businesses.,HubSpot,5,Positive,"Excellent! We're proud that our free CRM provides an incredible, robust starting point for startups and small businesses to grow."
N-iX's engineers are true experts in their field. The solution they built is robust and future-proof.,N-iX,5,Positive,"True expertise results in robust, future-proof solutions! Thank you for recognizing the quality of our engineering team."
"VLink failed to migrate our data correctly, leading to several days of recovery work.",VLink,1,Negative,We sincerely apologize for the failed migration and the resulting recovery work. This is unacceptable. We are reviewing our data migration protocols to ensure accuracy and minimize downtime risk.
"We hired Accedia for a staff augmentation project; the resources provided were mid-level, not senior as promised.",Accedia,2,Negative,We regret the discrepancy in the seniority level of the augmented staff. We are addressing our resource allocation process immediately to ensure we deliver the expertise promised.
TruAdvantage's managed backup solution has saved us once already. Worth every penny.,TruAdvantage,5,Positive,That's why we emphasize reliable backup! We are thrilled our managed solution protected you when it mattered most.
Microsoft Word and Excel remain the gold standard for office productivity. Unbeatable tools.,Microsoft,5,Positive,We're proud that Word and Excel remain the gold standard! We are constantly innovating to keep these tools unbeatable for your productivity.
"Salesforce has so many features we don't use, it makes the interface cluttered and overwhelming.",Salesforce,3,Negative,We hear your concern about feature clutter leading to an overwhelming interface. We are working on customization options to streamline the view and focus only on the tools you need.
Google Docs collaboration feature is revolutionary. Makes real-time co-authoring a breeze.,Google,5,Positive,Revolutionary collaboration is what we strive for! Glad Google Docs makes real-time co-authoring a breeze for your team.
Adobe Premiere Pro is still crashing on a weekly basis despite numerous bug fixes. Frustrating!,Adobe,1,Negative,"We understand how frustrating constant crashing is, especially in professional editing software. We apologize and are prioritizing stability fixes for Premiere Pro immediately."
Zoom's audio echo cancellation is the best in the business. Clear calls every time.,Zoom,5,Positive,Best-in-business audio quality is paramount! We're glad our echo cancellation ensures clear calls every single time.
The integration between HubSpot's Sales and Marketing hubs is seamless and very effective.,HubSpot,5,Positive,Seamless and effective integration between Sales and Marketing is the core value proposition! Thrilled to hear it's working well for you.
"N-iX is not the cheapest provider, but the quality of their code and service justifies the price.",N-iX,4,Positive,"We appreciate you recognizing that the quality of our code and service provides exceptional value, justifying the investment."
VLink's sales process was aggressive and misleading about the true capabilities of their system.,VLink,1,Negative,"We sincerely apologize if our sales process felt aggressive or misleading. This is not our standard, and we are taking immediate action to ensure honest and transparent representation of our capabilities."
Accedia helped us optimize our database for massive performance gains. Very satisfied with the outcome.,Accedia,5,Positive,Massive performance gains are a fantastic outcome! We are very satisfied that our optimization efforts met your needs.
"TruAdvantage's team is always available, even for late-night emergency calls. Exceptional support.",TruAdvantage,5,Positive,"Exceptional, around-the-clock availability for emergencies is our promise. Thank you for acknowledging our dedicated support team."
Microsoft's licensing portal is a maze of complexity. Hard to manage and track user seats.,Microsoft,2,Negative,We acknowledge the difficulty and complexity of our licensing portal. We are committed to simplifying seat management and tracking to make this process less cumbersome for you.
Salesforce has too much vendor lock-in. Switching to another CRM feels impossible now.,Salesforce,4,Negative,"We understand your concern regarding vendor lock-in. While our platform is powerful, we strive to make data portability easier and are constantly reviewing integration standards."
The value proposition of Google Workspace for our large company is simply unmatched in the market.,Google,5,Positive,Unmatched value for large enterprises is what we aim for! We're delighted Google Workspace is serving your company so well.
Adobe Stock integration within the Creative Cloud saves us so much time and effort searching for assets.,Adobe,5,Positive,Saving you time and effort is key! We're thrilled the seamless Adobe Stock integration is enhancing your workflow efficiency.
"Zoom fatigue is real, but the platform itself performs admirably under pressure.",Zoom,4,Neutral,"We appreciate the distinction! We recognize the reality of Zoom fatigue, but are proud the platform continues to perform admirably and reliably under pressure."
HubSpot's website CMS is a dream to work with. Very powerful and easy for non-developers.,HubSpot,5,Positive,Making a powerful CMS accessible to non-developers is our goal! Glad it's a dream to work with for your team.
We encountered significant scope creep with N-iX; they need to improve their initial estimates.,N-iX,3,Negative,We sincerely apologize for the significant scope creep. We are taking immediate steps to tighten our initial estimation processes and clarify project boundaries to prevent future surprises.
"VLink's consultant was friendly and knowledgeable, but the solutions proposed were too expensive for our budget.",VLink,3,Neutral,"We're pleased our consultant was knowledgeable, but regret the proposed solutions exceeded your budget. We will work to offer more flexible, cost-effective options moving forward."
Accedia's cultural fit with our organization was great. They felt like an extension of our own team.,Accedia,5,Positive,A great cultural fit is essential! We're thrilled our team felt like a seamless extension of your own organization.
TruAdvantage's security training for our staff was engaging and very informative. A crucial service.,TruAdvantage,4,Positive,Engaging and informative staff training is vital for security awareness! We're glad you found this service crucial.
"We are locked into the Microsoft ecosystem for life, and it's a blessing and a curse. Great tech, poor vendor experience.",Microsoft,4,Negative,"We acknowledge the duality of being locked into a powerful ecosystem. We appreciate the feedback on our great technology, and we are committed to improving the overall vendor experience."
Salesforce has too many unnecessary features. It's overwhelming for a small team.,Salesforce,2,Negative,We understand that unnecessary features can overwhelm a small team. We are continually working to provide streamlined interfaces and better guidance on essential features.
Google Photos provides unlimited cloud storage and is the only thing keeping our memories safe.,Google,5,Positive,"Protecting your important memories is our priority! We’re happy Google Photos provides the safe, reliable cloud storage you need."
"Adobe Photoshop is the gold standard, but the price is too high for casual users.",Adobe,4,Negative,We're proud Photoshop is the gold standard. We understand price is a barrier for casual users and are exploring various tiered pricing options to improve accessibility.
"Zoom's background features are fun, but the constant feature bloat is starting to slow the app down.",Zoom,3,Negative,"We appreciate the fun aspect, but apologize if feature additions are impacting app performance. We are refocusing efforts on optimization and minimizing bloat for a faster experience."
"HubSpot's reporting is excellent, providing clear insight into what campaigns are actually working.",HubSpot,5,Positive,Excellent reporting and clear campaign insights are critical! We're thrilled HubSpot is providing the clarity you need to succeed.
N-iX's project manager was consistently late in providing status updates. Communication needs work.,N-iX,2,Negative,We apologize for the inconsistent and late status updates from your Project Manager. We are addressing this internal communication deficiency immediately to ensure timely reporting.
VLink resolved a major server failure over the weekend. Their 24/7 service is truly reliable.,VLink,5,Positive,Resolving major failures swiftly with 24/7 reliability is our standard! We're glad we minimized your downtime over the weekend.
"Accedia's developers are technically brilliant, but their soft skills could use some improvement.",Accedia,3,Neutral,We appreciate the praise for the technical brilliance of our developers. We acknowledge the need for improvement in soft skills and will integrate further communication training.
We trust TruAdvantage implicitly with our company's entire network security. They are the best partner.,TruAdvantage,5,Positive,Implicit trust is the highest compliment! We are honored to be your best partner for network security.
Microsoft's constant push to use Edge over other browsers is an annoying anti-competitive tactic.,Microsoft,1,Negative,We acknowledge your frustration regarding the promotion of Edge. We respect user choice and will ensure product promotion practices are less intrusive moving forward.
Salesforce automation saved our team countless hours in manual data entry. Highly recommend the platform.,Salesforce,5,Positive,Saving countless hours through automation is exactly the power of Salesforce! Thank you for the high recommendation.
Google Maps API integration for our delivery system was incredibly easy and performant.,Google,5,Positive,Easy integration and high performancethat's what makes Maps API a great foundation for your delivery system!
Adobe Acrobat Pro is the only PDF editor worth using. Indispensable for business documentation.,Adobe,5,Positive,Indispensable! We're glad Acrobat Pro remains the only PDF editor you trust for your critical business documentation.
Zoom's transcription service is highly accurate and a huge help for meeting minutes.,Zoom,5,Positive,High accuracy in transcription is a huge focus for us! Thrilled it's helping streamline your meeting minutes process.
HubSpot is fantastic for lead nurturing and its pipeline management is very visual and easy to use.,HubSpot,4,Positive,"Fantastic! We designed our pipeline management to be highly visual and easy to use, supporting your successful lead nurturing efforts."
N-iX provided a cost-effective solution without compromising on quality. A rare find.,N-iX,5,Positive,Achieving quality without compromising cost is our aim! We're glad you consider us a rare and valuable find.
VLink took over 48 hours to respond to a critical severity ticket. Very poor service management.,VLink,1,Negative,A 12-hour delay on a critical severity ticket is unacceptable. We sincerely apologize and are urgently overhauling our critical response SLA and service management protocols.
Accedia's expertise in obscure legacy systems was a lifesaver for our modernization project.,Accedia,5,Positive,Expertise in challenging legacy systems is a niche skill we pride ourselves on! Glad we were a lifesaver for your modernization project.
"TruAdvantage is proactive in suggesting improvements to our IT infrastructure, not just fixing broken things.",TruAdvantage,5,Positive,"We believe in proactive improvement, not just reactive fixes! Thank you for recognizing our dedication to optimizing your infrastructure."
The cost of Microsoft's Power BI tool is prohibitive for our mid-sized business.,Microsoft,3,Negative,We recognize that the cost of Power BI can be prohibitive for mid-sized budgets. We are continually evaluating our licensing tiers to offer more accessible options.
Salesforce's Einstein AI is a powerful tool for forecasting and data analysis. Great feature set.,Salesforce,4,Positive,Einstein AI is designed for powerful forecasting! We're delighted you are utilizing this great feature set effectively for data analysis.
We use Google Sheets for all internal tracking; the simultaneous editing feature is perfect.,Google,5,Positive,Perfect for internal tracking! Simultaneous editing in Google Sheets is built to maximize team efficiency and collaboration.
Adobe's subscription model is much better than the old perpetual license. Constant updates and features.,Adobe,5,Positive,"We agree! The subscription model allows us to deliver constant, valuable updates and new features seamlessly to you."
"Zoom's recording quality is inconsistent, especially when recording in the cloud.",Zoom,2,Negative,"We apologize for the inconsistent recording quality, especially cloud recordings. We are investigating and working to stabilize and enhance our cloud recording infrastructure immediately."
HubSpot's free tools are a bit too restrictive; they force you into a paid plan quickly.,HubSpot,3,Negative,We understand the frustration if the free tools feel restrictive. We are reviewing the features provided in the free tier to ensure maximum value before any transition to a paid plan is necessary.
"The N-iX team truly understands our business goals, leading to a perfectly tailored product.",N-iX,5,Positive,"Understanding your business goals is paramount! We are proud we delivered a perfectly tailored, successful product."
VLink's technician was rude and unhelpful when dealing with a hardware issue on-site.,VLink,1,Negative,"We sincerely apologize for the unprofessional behavior of our technician. Rudeness is unacceptable, and we are addressing this personnel matter and reinforcing our customer service training immediately."
Accedia's project delivery was delayed due to internal resource scheduling issues on their end.,Accedia,2,Negative,We regret that internal resource scheduling issues caused a delay in your project delivery. We are reinforcing our internal processes to ensure better resource allocation and timely delivery.
TruAdvantage provides excellent value for money with their all-inclusive managed security package.,TruAdvantage,5,Positive,Excellent value for money is what we promise! We're glad our all-inclusive managed security package meets your needs perfectly.
Microsoft Exchange Online is reliable and handles our email volume without issue. Solid infrastructure.,Microsoft,5,Positive,Reliability and solid infrastructure are key to handling high email volume. We're pleased Exchange Online is performing perfectly for you.
Salesforce's mobile app is poorly designed and lacks the functionality of the desktop version.,Salesforce,2,Negative,We recognize the deficiencies in the mobile app design and functionality. We are actively prioritizing updates to ensure the mobile experience mirrors the power of the desktop version.
Google's 2FA on their accounts is robust and easy to set up. Very good security practice.,Google,5,Positive,Robust and easy 2FA setup means strong security for everyone! We're glad you appreciate this essential security practice.
I wish Adobe offered more flexible payment plans for freelancers and smaller creative studios.,Adobe,3,Negative,We understand the need for financial flexibility for freelancers and small studios. We are reviewing options to introduce more accommodating payment plans.
"Zoom is great for one-on-one calls, but performance dips significantly in very large group meetings.",Zoom,3,Neutral,"We're pleased with the one-on-one performance, but concerned about dips in large meetings. We are constantly optimizing for high-capacity group stability."
HubSpot's reporting feature is too basic; we have to export data to Excel for any deep analysis.,HubSpot,2,Negative,"We apologize if the reporting features are too basic for deep analysis. We are working on providing native, advanced reporting capabilities to eliminate the need for data export."
N-iX is our go-to partner for complex backend development. They are the best we've worked with.,N-iX,5,Positive,Being your go-to partner for complex backend development is high praise! We are dedicated to maintaining that high standard of excellence.
VLink successfully migrated our entire server room to the cloud in a single weekend. Impressive work!,VLink,5,Positive,"Impressive work and successful, timely migration are what we aim for! We're delighted we completed your cloud transition in a single weekend."
Accedia's final proposal included a lot of unnecessary services we didn't ask for. Felt like an up-sell.,Accedia,2,Negative,We apologize if the final proposal included unnecessary services and felt like an up-sell. We are reinforcing transparency and focusing proposals strictly on client-requested needs.
TruAdvantage's disaster recovery plan passed our stress test with flying colors. A very reassuring experience.,TruAdvantage,5,Positive,A successful stress test means a reassuring outcome! We are glad our disaster recovery plan proved robust when tested.
"Microsoft Defender is a powerful security suite, but it constantly flags legitimate internal software.",Microsoft,3,Negative,We acknowledge that Defender's powerful filtering can sometimes lead to false positives with internal software. We are working to improve customization and whitelist management controls.
Salesforce's community forums are an excellent resource for finding solutions and help.,Salesforce,4,Positive,"We're pleased our community forums are an excellent, helpful resource for finding quick solutions!"
"Google Chrome is fast, but its memory usage is absolutely excessive.",Google,4,Negative,"We are committed to maintaining speed, but recognize and apologize for the excessive memory usage. Optimization for resource efficiency is a top priority for our development team."
"The integration of Adobe Fonts and libraries is flawless, making brand consistency easy.",Adobe,5,Positive,Flawless integration and easy brand consistency are key creative benefits! We're thrilled you're leveraging Fonts and Libraries effectively.
Zoom's continuous innovation with new features keeps it ahead of its competitors.,Zoom,5,Positive,Continuous innovation is how we stay ahead! Thank you for recognizing our commitment to delivering new and valuable features.
"HubSpot's free onboarding resources and support are top-tier, even for their entry-level plans.",HubSpot,5,Positive,Top-tier resources for all customers is our standard! We're thrilled our free onboarding support helped you get started smoothly.
