Text,Rating
"The language barrier was a significant issue, leading to frequent misunderstandings and rework.",2
Their flexibility in adapting to our internal tools and processes was a huge help.,5
We were sold a dream during the sales process that the delivery team simply could not execute on.,1
Their deep expertise in the fintech domain was evident. They understood our challenges without needing much explanation.,5
The team is spread too thin across too many projects. We never felt like we had their full attention.,2
"The solution they built is robust, scalable, and has had zero downtime since launch. Excellent engineering.",5
The contract is very one-sided and offers us little protection if things go wrong. We had to walk away.,1
They provide detailed weekly reports that give us full visibility into progress and potential blockers.,5
They are just a body shop. There's no innovation or thought leadership. You have to provide all the direction.,3
The team's positive attitude and can-do spirit are infectious. It's a pleasure to work with them.,5
"They missed a critical security requirement in the specifications, which could have had severe consequences.",1
Their ability to quickly build and deploy a proof-of-concept was instrumental in getting stakeholder buy-in.,5
"The project manager is a bottleneck. All communication has to go through them, which slows everything down.",2
We've been with them for years and consider them a long-term strategic partner.,5
The code they delivered was not optimized at all. It was slow and resource-intensive.,2
Their QA testers are incredibly thorough. They find bugs that our own team misses.,5
"They seem to have a high rate of employee attrition, leading to a lack of continuity on our project.",2
"The project was a textbook example of how outsourcing should work. Great communication, on-time delivery, and high-quality results.",5
"Their initial discovery phase was a bit slow, but it paid off in the long run by ensuring there were no surprises later.",4
They are very resistant to feedback and get defensive when we point out issues in their work.,1
The mobile app they developed has received rave reviews from our users. It's a huge success.,5
The project felt disorganized and chaotic from day one. There was no clear plan or direction.,1
Their expertise in UI/UX has dramatically improved the usability of our product.,5
"The time zone overlap is only a few hours, which makes real-time collaboration very difficult.",2
They are a very professional and well-run organization. We have been impressed at every stage.,5
The final product was functional but lacked the polish and attention to detail we were expecting.,3
Their ability to integrate with our complex legacy systems was impressive.,5
We had to micromanage every aspect of the project. It ended up taking more of our time than if we had done it ourselves.,1
"The project was delivered on time, on budget, and exceeded our expectations. An absolute home run.",5
"The developers are good, but the project management tools they use are terrible, making it hard to track progress.",3
"They have a very strong company culture that emphasizes quality and client satisfaction, and it shows.",5
They are very secretive about their development process. We have no visibility into the code until it's delivered.,2
Their post-launch support has been excellent. They are quick to address any bugs or issues that come up.,5
The sales team overpromised on the team's capabilities. The developers we got were not as experienced as we were led to believe.,2
They are a great partner for augmenting our internal team with specific skill sets we lack.,5
The project was constantly blocked waiting for decisions or approvals from their side.,2
They are incredibly organized and efficient. The project ran like a well-oiled machine.,5
"The code is not self-explanatory and lacks comments, which will make future maintenance difficult.",2
Their ability to understand our complex business logic and translate it into a functional application was outstanding.,5
"They are very inflexible with their work hours, which makes it hard to schedule meetings.",2
The team is passionate about their work and genuinely invested in our project's success.,5
They delivered a product that technically works but completely missed the mark on user experience.,2
Their knowledge of cybersecurity best practices is impressive. We feel our application is in safe hands.,5
"The project manager is great at shielding the team from distractions, but it also means we have limited direct access to the developers.",3
They have a very structured and transparent development process. We always know what's going on.,5
The team seems to lack a sense of ownership. They are just completing tasks without thinking about the bigger picture.,2
They were able to turn our vague requirements into a detailed technical specification that was spot on.,5
The project was a constant struggle due to cultural differences and communication styles.,2
"They provide a dedicated QA engineer for the project, which has significantly improved the quality of the deliverables.",5
The team is not very good at estimating effort. Their timelines are consistently underestimated.,2
"They are a true partner, not just a vendor. They are always looking for ways to add value beyond the contract.",5
The code is poorly structured and will be difficult to refactor in the future.,2
"Their design mockups were beautiful, but the final product didn't quite capture the same level of polish.",3
They have a very strong grasp of agile methodologies and run sprints very effectively.,5
The team is very junior and requires a lot of hand-holding from our senior engineers.,2
Their ability to deliver a complex feature under a tight deadline was nothing short of heroic.,5
"The project manager is not very organized, leading to missed details and confusion.",2
They have a very collaborative and open communication style. We feel like we are part of the same team.,5
The final product is not very intuitive. We are getting a lot of support tickets from confused users.,2
Their expertise in data analytics has helped us unlock valuable insights from our data.,5
"They are very slow to respond to emails and messages, which can be frustrating.",2
They are a very reliable and trustworthy partner. We have been working with them for over 5 years.,5
The project was a technical success but a commercial failure because they didn't understand our users.,2
"Their ability to provide end-to-end services, from design to deployment and maintenance, is a huge advantage.",5
"They are very resistant to using our internal project management tools, which creates friction.",2
The team is incredibly smart and talented. They are always coming up with innovative solutions to our problems.,5
"The project manager is a bit of a micromanager, which can be frustrating for our team.",3
"They have a very strong focus on user experience, and it shows in the quality of their work.",5
"The team seems to be juggling too many projects at once, and the quality of their work on our project has suffered.",2
They are a great partner for rapid prototyping and building MVPs.,5
The project was a constant source of stress and frustration. I would not recommend them.,1
Their ability to adapt to our changing priorities has been a huge asset.,5
The team is not very proactive about identifying potential risks or issues.,2
They have a very strong engineering culture that values clean code and good design.,5
"The project manager is not very good at communicating bad news, which leads to surprises.",2
"They are a true pleasure to work with. Professional, friendly, and talented.",5
"The final product is not very well-documented, which will make it hard for us to maintain.",2
Their expertise in our niche industry is a huge advantage. They get it.,5
The team is not very good at following our coding standards.,2
"They are a great partner for long-term, complex projects.",5
The project was a complete mess. I would give them zero stars if I could.,1
Their ability to work independently and with minimal supervision is a huge plus.,5
The team is not very good at providing regular status updates.,2
They are a great partner for companies that need to scale their development team quickly.,5
The project was a huge waste of time and money. I would never work with them again.,1
"Their ability to provide a full-service team, including developers, QA, and a project manager, is very convenient.",5
The team is not very good at taking feedback.,2
They are a great partner for companies that need to build a high-quality product from scratch.,5
The project was a complete disaster. I would not recommend them to my worst enemy.,1
Their ability to provide a dedicated team that feels like an extension of our own is a huge advantage.,5
The team is not very good at communicating their progress.,2
They are a great partner for companies that need to modernize their legacy systems.,5
The project was a complete failure. I would not recommend them to anyone.,1
Their ability to provide a cost-effective solution without sacrificing quality is a huge plus.,5
The team is not very good at meeting deadlines.,2
"They are a great partner for companies that need to build a complex, enterprise-grade application.",5
The project was a complete and utter nightmare. I would not wish this experience on anyone.,1
Their ability to provide a flexible and scalable team that can grow with our needs is a huge plus.,5
The team is not very good at providing clear and concise documentation.,2
They are a great partner for companies that need to build a beautiful and intuitive user interface.,5
The project was a complete and utter failure. I would not recommend them to anyone.,1
